"Variable","Min.","1st Qu.","Median","Mean","3rd Qu.","Max","Standard Deviation","Variance","Coefficient of Variance","Amplitude"
"ARCH",-1,-1,1,0.049536873101366,1,1,0.99877694900917,0.997555393872066,20.1622929845693,2
"CPU_USER",0,0,14,33.4850811636879,47,721,56.667053435132,3211.15494502011,1.69230748338706,721
"CPU_SYSMODE",0,0,1,14.6805449428779,13,308,29.8775131970621,892.665794840623,2.03517739384442,308
"CPU_IDLE",0,199,211,251.415779860969,302,463034,2220.76189078821,4931783.37557722,8.83302508703422,463034
"CPU_IOWAIT",-2,0,0,25.9418808356785,55,402,49.06051670912,2406.93429976585,1.89117038274441,404
"CPU_IRQ",0,0,0,0.000288871908604655,0,1,0.0169938563225245,0.000288791152710606,58.8283450772708,1
"CPU_SOFTIRQ",0,0,0,2.92557355051531,1,43,5.89857126862764,34.7931430110795,2.01621021204155,43
"CPU_STEAL",0,0,0,18.4978381199098,0,462978,2219.95203097705,4928187.01983914,120.011431421689,462978
"MEMORY_SIZE",567801,569945,576009,573124.421669121,576009,576009,3031.72613078509,9191363.33208512,0.00528982192375564,8208
"MEMORY_RESIDENT",7653,12386,16473,28720.2008498425,44605,75394,20249.7311245502,410051610.616579,0.705069272684466,67741
"MEMORY_SHARE",2299,2377,2615,2509.83712283579,2633,2633,126.871113442967,16096.2794262582,0.0505495405612692,334
"MEMORY_DATA",557197,559341,562822,561164.94479751,562822,562822,1742.19021712038,3035226.75262997,0.00310459559755472,5625
"MEMORY_VIRTUALSIZE",2325712896,2334494720,2359332864,2347517631.15672,2359332864,2359332864,12417950.2316957,154205487956872,0.00528982192375564,33619968
"MEMORY_RSS",7653,12386,16473,28720.2582142125,44605,75394,20249.7519141959,410052452.58648,0.705068588282228,67741
"MEMORY_USED",373888,651259,894352,793166.011070317,900768,994288,170061.512595431,28920918066.2458,0.214408472150673,620400
"MEMORY_FREE",2966344,3273195,3555884,4963280.52552323,6839800,6856992,1791535.27909595,3209598656245.42,0.36095789264442,3890648
"MEMORY_BUFFERS",34396,77428,166048,146926.742456716,189504,189524,56278.8589721791,3167309967.21042,0.383040269124313,155128
"MEMORY_CACHED",157568,248739,343784,316585.860148722,385588,385660,77092.9922659667,5943329456.5204,0.243513693977838,228092
"DISK_MILLISECONDS_READING",0,0,0,26.9172242205118,70,233,43.1052163099944,1858.05967313141,1.60139901339258,233
"DISK_WRITES_COMPLETED",0,0,0,16.027759658572,16,261,29.5568035485651,873.60463600847,1.84410074634214,261
"DISK_SECTORS_WRITTEN",0,0,0,305.211640606072,676,2986,495.469499926859,245490.025357771,1.62336370573214,2986
"DISK_MILLISECONDS_WRITING",0,0,0,455.824999534078,1068,6272,760.634314768511,578564.560803362,1.66869810902429,6272
"DISK_MILLISECONDS_SPENT_IN_IO",0,0,0,288.156363568593,996,2136,453.147627370823,205342.772191806,1.57257546478912,2136
"DISK_WEIGHTED_MILLISECONDS_DOING_IO",0,0,0,455.827869616266,1084,8296,756.886961266247,572877.872134853,1.66046661847031,8296
"DISK_IO_IN_PROGRESS",-32,0,0,0.0367426430847792,0,33,0.843366071650361,0.711266330810961,22.9533316289847,65
"NETWORK_R_BYTES",372,1710,1954,208047.107152841,2611,1969284,383224.978607115,146861384228.423,1.84201060928754,1968912
"NETWORK_R_PACKETS",1,11,22,3143.5188605401,26,29833,5807.1381344348,33722853.3124069,1.84733681968018,29832
"NETWORK_R_MULTICAST",0,0,0,0.00386715619583652,0,2,0.0623659469395272,0.00388951133766392,16.1270824816106,2
"NETWORK_T_BYTES",121,121,8522,23281044.5984215,8832,224919325,43228381.3392347,1868692953210292,1.8568059159238,224919204
"NETWORK_T_PACKETS",2,2,24,15397.4464934678,28,148666,28567.2386674555,816087125.083366,1.85532313293473,148664
"POWER_CONSUMPTION",28.7,43.7,76,142.627521106286,245.2,299.5,102.190202884709,10442.837565618,0.716483060857216,270.8
