"Variable","Min.","1st Qu.","Median","Mean","3rd Qu.","Max","Standard Deviation","Variance","Coefficient of Variance","Amplitude"
"CPU_USER",0,14,34,50.5956388948079,65,721,68.565995545635,4701.29574516403,1.35517600021197,721
"CPU_SYSMODE",0,0,8,16.4344413665743,15,124,27.96857959723,782.241444686591,1.70182721599012,124
"CPU_IDLE",0,251,301,286.757386888273,342,439,84.2394521068099,7096.28529125552,0.293765587073198,439
"CPU_IOWAIT",-2,0,2,39.7013814901627,79,402,50.7145278358662,2571.96333361485,1.27739957483425,404
"CPU_IRQ",0,0,0,0.000532708288940976,0,1,0.0230745306608698,0.000532433965219422,43.3155089565849,1
"CPU_SOFTIRQ",0,0,0,5.53174941402088,11,43,7.20870151045851,51.9653774668868,1.3031504088358,43
"CPU_STEAL",0,0,0,0,0,0,0,0,NA,0
"MEMORY_SIZE",576009,576009,576009,576009,576009,576009,0,0,0,0
"MEMORY_RESIDENT",7693,28104,43498,43231.6732544925,56904,75394,18350.3971470058,336737075.452838,0.424466502579769,67701
"MEMORY_SHARE",2519,2632,2633,2630.45075999716,2633,2633,7.19935732809062,51.8307459375321,0.00273692913685197,114
"MEMORY_DATA",562822,562822,562822,562822,562822,562822,0,0,0,0
"MEMORY_VIRTUALSIZE",2359332864,2359332864,2359332864,2359332864,2359332864,2359332864,0,0,0,0
"MEMORY_RSS",7693,28104,43498,43231.7754634562,56904,75394,18350.3669575601,336735967.477115,0.424464800736016,67701
"MEMORY_USED",373516,528812,655972,697229.629945309,868181,994288,189024.69052906,35730333629.6069,0.271108229499494,620772
"MEMORY_FREE",2966344,3092451,3304660,3263402.37005469,3431820,3587116,189024.69052906,35730333629.6069,0.0579225817397111,620772
"MEMORY_BUFFERS",34388,56944,79312,108395.48582996,166044,166048,53961.2141717498,2911812634.88946,0.497817909653535,131660
"MEMORY_CACHED",157568,205387,253260,254422.28084381,304110,353052,56519.7737130802,3194484820.57779,0.22214946554849,195484
"DISK_MILLISECONDS_READING",0,0,3,46.3593472547766,96,233,49.4702482144229,2447.30545839661,1.067104071646,233
"DISK_WRITES_COMPLETED",0,0,6,28.4472973932808,59,261,34.8887214099935,1217.22288162414,1.22643360202766,261
"DISK_SECTORS_WRITTEN",0,0,112,523.33109595852,1058,2986,568.666232729943,323381.284247266,1.08662802023715,2986
"DISK_MILLISECONDS_WRITING",0,0,40,799.992115917323,1568,6272,886.01377760627,785020.414108132,1.10752813681208,6272
"DISK_MILLISECONDS_SPENT_IN_IO",0,0,32,486.044108246324,1012,2136,503.054511042556,253063.841080265,1.03499765249209,2136
"DISK_WEIGHTED_MILLISECONDS_DOING_IO",0,0,32,799.999502805597,1572,8296,879.891449157845,774208.962301093,1.09986499500571,8296
"DISK_IO_IN_PROGRESS",-32,0,0,1.77569429646992e-05,0,33,1.12341515806531,1.26206161737091,63266.2480416063,65
"NETWORK_R_BYTES",372,924,2097,394658.877636906,917032,1969284,454506.523817214,206576180192.408,1.15164398819217,1968912
"NETWORK_R_PACKETS",1,5,12,5969.92689466582,13887,29833,6888.48644471317,47451245.4989972,1.15386445533665,29832
"NETWORK_R_MULTICAST",0,0,0,0,0,0,0,0,NA,0
"NETWORK_T_BYTES",121,121,121,44355869.5711343,103059228.5,224919325,51247676.7583848,2626324373131890,1.1553753145612,224919204
"NETWORK_T_PACKETS",2,2,2,29318.815079196,68118,148666,33871.7757083064,1147297189.63381,1.15529142691517,148664
"POWER_CONSUMPTION",28.7,36.5,44.1,46.0845408054549,49.8,106.1,15.2602269137464,232.874525459029,0.331135488105809,77.4
